Date,ADANIENT.NS,ADANIPORTS.NS,ASIANPAINT.NS,AXISBANK.NS,BAJAJ-AUTO.NS,BAJAJFINSV.NS,BAJFINANCE.NS,BHARTIARTL.NS,BPCL.NS,BRITANNIA.NS,CIPLA.NS,COALINDIA.NS,DIVISLAB.NS,DRREDDY.NS,EICHERMOT.NS,GRASIM.NS,HCLTECH.NS,HDFCBANK.NS,HEROMOTOCO.NS,HINDALCO.NS,HINDUNILVR.NS,ICICIBANK.NS,INDUSINDBK.NS,INFY.NS,ITC.NS,JSWSTEEL.NS,KOTAKBANK.NS,LT.NS,M&M.NS,MARUTI.NS,NESTLEIND.NS,NTPC.NS,ONGC.NS,POWERGRID.NS,RELIANCE.NS,SBIN.NS,SHREECEM.NS,SUNPHARMA.NS,TATACONSUM.NS,TATASTEEL.NS,TCS.NS,TECHM.NS,TITAN.NS,ULTRACEMCO.NS,UPL.NS,WIPRO.NS
2017-04-03,59.6753120422363,325.560272216797,1012.66577148438,493.055816650391,2188.3818359375,408.251525878906,114.798278808594,292.935943603516,122.369987487793,1491.99255371094,556.971740722656,145.314819335938,586.247375488281,516.110900878906,2380.79565429688,770.24951171875,338.497589111328,332.184692382813,2383.45043945313,182.829574584961,798.494567871094,248.399017333984,1332.65405273438,393.685272216797,194.076614379883,170.506591796875,174.169143676758,958.7919921875,592.132751464844,5582.45556640625,292.710510253906,97.6825790405273,113.787719726563,70.6755065917969,301.218231201172,268.070037841797,16618.978515625,637.005676269531,138.094345092773,36.5387229919434,971.64013671875,334.9833984375,444.451843261719,3875.70776367188,448.038635253906,86.7669525146484
2017-04-05,61.1698608398438,340.834289550781,1005.88269042969,500.639831542969,2170.49658203125,411.294830322266,113.958000183105,295.249938964844,122.24536895752,1485.04211425781,557.347595214844,142.876495361328,590.40625,515.527893066406,2401.44970703125,781.02685546875,332.343078613281,331.987670898438,2380.39868164063,187.17366027832,811.244018554688,246.796173095703,1330.28002929688,388.670623779297,192.284393310547,176.734741210938,176.93293762207,979.254943847656,594.088928222656,5831.0546875,294.913024902344,98.780158996582,114.063331604004,70.2432403564453,310.059875488281,271.910766601563,16836.46875,635.441711425781,138.776184082031,37.0989990234375,967.430114746094,330.436645507813,475.800964355469,3928.16357421875,445.997833251953,87.3743667602539
2017-04-06,61.7836952209473,339.406799316406,1009.92462158203,501.033752441406,2206.22802734375,416.230804443359,116.386566162109,292.935943603516,123.865104675293,1476.7939453125,554.76318359375,141.078552246094,587.041870117188,511.155487060547,2385.70288085938,783.812805175781,333.515350341797,333.413116455078,2386.53955078125,183.160095214844,810.636840820313,243.330520629883,1349.93591308594,390.094970703125,188.941253662109,183.955780029297,177.827697753906,971.606628417969,593.2373046875,5784.396484375,294.412536621094,99.4920883178711,114.859443664551,71.0357513427734,315.209259033203,267.795776367188,17033.443359375,631.945678710938,139.13981628418,37.726978302002,966.947143554688,330.399688720703,471.592041015625,3956.94213867188,444.170257568359,88.0673599243164
2017-04-07,62.6644248962402,330.366088867188,1006.25457763672,496.601593017578,2225.21362304688,420.997375488281,116.726570129395,295.421325683594,129.452651977539,1476.92578125,554.481262207031,139.847030639648,581.340881347656,500.483337402344,2405.32763671875,775.015075683594,331.874206542969,333.494201660156,2393.23852539063,182.735122680664,801.83349609375,240.298110961914,1340.96252441406,383.050903320313,187.94172668457,180.390411376953,173.602432250977,972.934204101563,587.092834472656,5754.7021484375,294.541473388672,99.8183746337891,114.15518951416,70.2432403564453,308.21923828125,264.686645507813,17254.517578125,612.671691894531,136.912521362305,37.0914764404297,978.630432128906,327.664215087891,469.656982421875,3927.92309570313,442.799468994141,87.5882568359375
2017-04-10,64.1055908203125,335.124328613281,984.186340332031,503.052886962891,2230.36352539063,435.621002197266,120.529693603516,296.278442382813,134.235122680664,1503.05578613281,554.152404785156,141.250961303711,615.031799316406,495.687927246094,2384.0205078125,799.612243652344,325.524261474609,332.404876708984,2381.40356445313,184.19889831543,803.091186523438,240.557998657227,1353.44934082031,372.065338134766,188.562103271484,183.865524291992,174.447509765625,966.324890136719,589.50927734375,5763.43505859375,294.93310546875,98.928466796875,114.18578338623,70.3513031005859,302.686340332031,264.595153808594,17101.34375,614.327697753906,137.230682373047,37.253173828125,975.891235351563,327.553283691406,469.99560546875,3906.65234375,446.028289794922,86.3049774169922
2017-04-11,64.7461090087891,317.661529541016,996.54443359375,507.288116455078,2218.92456054688,435.805267333984,122.00626373291,300.135009765625,136.171112060547,1496.87536621094,545.130187988281,142.310028076172,615.872924804688,494.230438232422,2412.18701171875,797.926025390625,325.8173828125,333.644866943359,2383.48779296875,185.521026611328,801.139831542969,245.756469726563,1352.64221191406,377.431396484375,194.421249389648,179.397506713867,175.183197021484,984.132690429688,589.8544921875,5744.08251953125,291.851776123047,99.0767974853516,115.043167114258,71.738151550293,300.714324951172,269.304565429688,17108.845703125,616.765747070313,139.457992553711,36.7079315185547,974.702453613281,329.142852783203,470.963104248047,3882.0126953125,447.612243652344,87.288818359375
2017-04-12,61.0364227294922,311.761260986328,994.639465332031,498.374420166016,2232.32836914063,448.566162109375,123.001983642578,300.649230957031,137.493743896484,1517.19860839844,544.519409179688,142.851837158203,608.116088867188,497.38037109375,2462.70874023438,786.195617675781,324.977233886719,334.618377685547,2401.98388671875,182.262939453125,801.183227539063,243.287170410156,1365.22375488281,378.094818115234,194.317886352539,177.321472167969,174.855117797852,982.920349121094,589.117980957031,5658.3046875,290.047485351563,97.8605804443359,114.338905334473,71.1798248291016,296.693359375,265.326721191406,17141.705078125,628.587707519531,137.957977294922,35.9032287597656,964.207336425781,323.56103515625,464.238525390625,3881.82006835938,448.373687744141,85.6804351806641
2017-04-13,62.3708419799805,304.956970214844,1001.93383789063,499.901123046875,2239.12915039063,459.419311523438,123.749984741211,291.607513427734,140.138931274414,1497.31518554688,542.498718261719,143.369079589844,606.433837890625,496.647003173828,2431.31274414063,770.2861328125,316.165496826172,333.830322265625,2400.0869140625,173.055358886719,801.269836425781,245.020034790039,1365.17626953125,363.479858398438,192.422256469727,172.176467895508,174.874969482422,968.92236328125,589.371215820313,5587.9267578125,286.467926025391,97.6825790405273,113.175308227539,72.0443420410156,299.059875488281,266.606964111328,17130.767578125,637.32763671875,136.821578979492,34.861629486084,938.180603027344,317.868316650391,468.447509765625,3868.5859375,443.043212890625,84.7650299072266
2017-04-17,65.8403396606445,304.528778076172,984.325805664063,494.779449462891,2242.2734375,447.619812011719,122.355979919434,292.507415771484,138.730056762695,1489.17700195313,541.793884277344,140.782989501953,598.022888183594,500.464569091797,2435.02221679688,786.049011230469,316.829833984375,333.019134521484,2411.73510742188,171.355514526367,792.770141601563,244.673446655273,1362.84985351563,360.943267822266,192.387802124023,175.245407104492,176.485565185547,970.538757324219,584.239135742188,5622.4951171875,280.852783203125,94.5085754394531,112.134201049805,72.8728561401367,304.987182617188,265.09814453125,17083.681640625,622.883666992188,135.867004394531,34.775146484375,932.620788574219,311.953765869141,465.641571044922,3849.8173828125,448.221405029297,84.234619140625
2017-04-18,77.3430404663086,303.91015625,966.764404296875,492.120147705078,2220.45751953125,435.262451171875,120.073127746582,290.364807128906,138.816314697266,1481.78698730469,541.136108398438,137.556488037109,590.780090332031,494.296356201172,2379.76586914063,780.697021484375,315.755279541016,335.452789306641,2401.38818359375,173.574798583984,791.642761230469,245.539855957031,1359.52648925781,360.065124511719,192.353332519531,169.062408447266,175.302474975586,963.698364257813,581.385498046875,5642.35400390625,281.99853515625,95.9324264526367,110.817504882813,72.8908615112305,300.243194580078,265.463897705078,17120.65625,611.935791015625,134.685165405273,33.8350715637207,930.183410644531,309.698852539063,455.917541503906,3823.2041015625,463.847442626953,84.525505065918
2017-04-19,77.4765014648438,310.048309326172,974.615966796875,491.972442626953,2208.11474609375,432.338653564453,120.74340057373,291.350433349609,138.567153930664,1509.39038085938,540.76025390625,139.255950927734,591.901550292969,490.337677001953,2372.77563476563,793.417175292969,315.970153808594,335.846832275391,2381.6640625,175.652374267578,787.999938964844,243.070587158203,1349.88842773438,358.71875,192.112091064453,170.957901000977,174.099533081055,964.304565429688,579.682495117188,5697.33251953125,280.252044677734,97.8308944702148,110.143821716309,76.0788497924805,299.936370849609,259.748565673828,16976.966796875,610.279663085938,136.548858642578,33.8989944458008,926.295654296875,306.298065185547,456.933410644531,3792.01977539063,470.548706054688,85.2526702880859
2017-04-20,78.0636367797852,316.329223632813,983.814758300781,480.645721435547,2226.03955078125,433.867797851563,121.622550964355,293.750122070313,138.260452270508,1486.55981445313,539.491394042969,137.630386352539,589.611938476563,491.296783447266,2376.89526367188,841.255249023438,318.432006835938,338.894714355469,2380.65942382813,176.077346801758,794.201171875,236.312622070313,1355.58581542969,361.879852294922,192.663528442383,170.86767578125,176.793762207031,970.4521484375,585.320678710938,5767.7099609375,282.085296630859,97.1189727783203,109.684501647949,75.2503356933594,300.100738525391,260.434417724609,16943.47265625,603.471801757813,138.321624755859,34.1735000610352,936.911804199219,310.881805419922,463.948333740234,3856.45825195313,476.458038330078,85.5093460083008
2017-04-21,77.9035034179688,310.238677978516,989.993591308594,478.922088623047,2220.37890625,428.752532958984,121.131980895996,293.79296875,137.206192016602,1485.32800292969,530.469421386719,136.448165893555,589.565124511719,490.760833740234,2387.03100585938,828.278564453125,317.591888427734,346.879425048828,2384.2314453125,177.635543823242,786.135070800781,233.193572998047,1362.61242675781,360.474884033203,189.113555908203,169.01725769043,175.053955078125,974.088623046875,579.107238769531,5687.0810546875,282.705932617188,99.1954193115234,110.388778686523,74.0615921020508,307.320861816406,258.056884765625,17031.50390625,588.429931640625,137.548873901367,33.9065208435059,930.988830566406,316.167846679688,463.851531982422,3829.12329101563,474.874053955078,84.0549621582031
2017-04-24,80.0919723510742,314.996917724609,994.174926757813,491.135192871094,2254.53784179688,435.496520996094,123.541114807129,295.378509521484,137.024078369141,1490.43078613281,523.514892578125,136.522033691406,593.303405761719,491.353179931641,2432.01220703125,865.192626953125,320.249145507813,355.327789306641,2385.12475585938,180.185348510742,784.530639648438,232.760330200195,1361.23559570313,361.587188720703,190.767913818359,173.756072998047,178.106063842773,1000.17974853516,582.052917480469,5808.9443359375,279.773803710938,98.8097915649414,111.123664855957,73.7914276123047,310.585784912109,261.577514648438,18006.5,591.419738769531,138.139770507813,33.8952407836914,937.959411621094,317.350769042969,466.705871582031,3986.20141601563,483.890228271484,84.1062927246094
2017-04-25,80.03857421875,315.330047607422,1020.14544677734,508.617736816406,2277.37622070313,450.697937011719,130.336242675781,303.348968505859,141.720321655273,1529.71337890625,519.66162109375,137.08854675293,604.891906738281,497.587219238281,2431.00048828125,864.826171875,320.405303955078,356.2548828125,2460.15356445313,181.035263061523,801.399963378906,236.096008300781,1379.89440917969,362.679809570313,193.904281616211,175.561340332031,178.553436279297,1007.91461181641,601.775329589844,5826.2744140625,281.344390869141,98.1572189331055,111.154327392578,75.1422653198242,313.960296630859,261.577514648438,18447.294921875,591.143920898438,137.912521362305,34.1923027038574,931.271118164063,323.9306640625,467.963714599609,4083.26831054688,491.627136230469,84.5768280029297
